Прекурсор;Растворитель;t, C;t, ч;pH;HNO3;CH3COOH;HCl;H2SO4;t1, C;H1, Дж/г;t2, C;H2, Дж/г;Фазовый состав;a(842), A;D(842), нм;SBET, м2/г;Vпор, см3/г;N, нм;Lk, мкм;A1(C), at %;A2(C), at %;A1(O), at %;A2(O), at %;A1(Fe), at %;A2(Fe), at %;d1, нм;d2, нм;w1, %;w2, %;X (PhA), %;s(ST), %
11;21;150;8;1.5;31;0;0;0;115.4;540.8;420.2;-20.32;41;72.76;33.4;1261;0.708;350;5;70.21;69.7;25.92;26.97;3.85;3.25;9.7;25.9;86.06;13.94;44.02;87.98
12;22;24;24;6;0;0;0;0;114.7;547.4;417.8;-24.07;41;73.09;37.8;1827.4;1.001;325;6;67.76;65.31;24.26;26.81;7.98;7.88;9.1;24;90.28;9.72;86.06;86.34
12;22;24;24;5;0;0;0;0;113.5;550.3;415.3;-19.48;41;72.48;21.3;6527.1;3.311;300;10;68;66.57;21.47;27.95;10.51;5.46;9.9;25.3;96.49;3.51;49.58;87.57
13;22;24;24;5.7;0;31;0;0;110.8;535.8;419.7;-28.2;41;71.64;35.1;313.9;0.204;315;9;68.24;67.41;23.21;25.57;8.55;7.02;9.6;25.4;83.61;16.39;51.24;85.41
13;22;24;24;9.4;0;0;0;0;118;557.3;423.6;-29.4;42;;;521.4;0.154;305;8;65.3;62.1;24.71;26.85;9.98;11.05;9.2;24.3;71.25;28.75;;
13;22;24;24;5.7;0;0;0;0;116.8;520.4;425.1;-30.3;41;72.15;19.7;881.1;0.427;290;4;69.25;66.32;25.41;26.48;5.34;7.2;9.5;24.8;81.25;18.75;81.34;82.57
13;22;24;24;5.3;0;0;31;0;117.2;550.3;421.8;-27.4;41;72.02;17.9;537.3;0.35;326;8;67.91;62.14;24.63;25.95;7.46;11.91;9.7;25.2;84.25;15.75;77.81;84.23
12;22;24;24;2.5;0;0;0;31;117.9;561.5;427.2;-32.5;43;;;427.4;0.274;348;6;71.2;68.51;23.25;26.37;5.55;5.12;9.8;24.9;74.23;25.77;;
12;22;24;24;5.5;0;0;0;31;115.3;545.6;420.3;-24.27;41;71.01;24;643.9;0.444;356;7;69.41;63.49;24.15;27.26;6.44;9.25;9.3;24.1;84.29;15.71;57.85;83.67
12;22;120;24;5;0;0;0;0;116.1;549.7;419.6;-24.26;41;72.4;21.2;1124.3;0.412;341;5;68.25;62.85;22.45;26.86;9.3;10.29;9.5;25.1;87.24;12.76;84.25;85.42
